Week;Value
31.12.2012;7840
07.01.2013;8285
14.01.2013;8595
21.01.2013;8719
28.01.2013;9519
04.02.2013;8985
11.02.2013;9104
18.02.2013;9164
25.02.2013;9167
04.03.2013;8792
11.03.2013;8900
18.03.2013;8807
25.03.2013;8687
01.04.2013;8592
08.04.2013;8398
15.04.2013;8311
22.04.2013;8284
29.04.2013;8195
06.05.2013;8161
13.05.2013;8088
20.05.2013;8155
27.05.2013;8129
03.06.2013;7785
10.06.2013;7721
17.06.2013;7763
24.06.2013;7790
01.07.2013;7833
08.07.2013;7884
15.07.2013;7956
22.07.2013;8111
29.07.2013;8028
05.08.2013;8073
12.08.2013;8080
19.08.2013;8095
26.08.2013;7980
02.09.2013;8302
09.09.2013;8118
16.09.2013;8119
23.09.2013;8266
